sentence,aspect,sentiment
특히 #유브이마일드시카 는 아이부터 임산부까지 누구나 사용할수 있는데 백탁없는 로션 제형의 선크림이라 수분감 가득하고 촉촉해서 외출할 때 필수로 바르고 있어요➰,로션 제형,positive
특히 #유브이마일드시카 는 아이부터 임산부까지 누구나 사용할수 있는데 백탁없는 로션 제형의 선크림이라 수분감 가득하고 촉촉해서 외출할 때 필수로 바르고 있어요➰,수분감,positive
병풀추출물 등 피부 진정에 도움주는 5가지 식물 유래추출물함유되어 30도가 넘는 요즘 더위에 사용하기 딱,5가지 식물 유래추출물,positive
유해성분은 노우 온가족 함께 사용할수 있는 럽피 참 좋네요 〰️,럽피,positive
수작업의 빗살라인이 넘 고급스럽고 파스텔톤의 컬러감 진짜 대 - 박 !,빗살라인,positive
수작업의 빗살라인이 넘 고급스럽고 파스텔톤의 컬러감 진짜 대 - 박 !,파스텔톤의 컬러감,positive
한식에 쓰임 좋은 4인 세트라 더 좋은 !!!,4인 세트,positive
단백질성분이 들어가서 그런지 뻣뻣하지않고 향도 은은해요,단백질성분,positive
단백질성분이 들어가서 그런지 뻣뻣하지않고 향도 은은해요,향,positive
두피도 많이 좋아지고 기름기도 덜해서 요즘 열심히 사용중인 샴푸에요,샴푸,positive
남아 3-4살 선택해서 받았더니 딱 우리 &name&가 좋아하는 놀이감 가득,놀이감,positive
강력한 오일막 형성으로 냄새 걱정 노노,오일막,positive
레몬향과 라벤더향으로 걱정 끝,레몬향과 라벤더향,positive
휴대가 좋은 작은 사이즈라 좋은 토일렛퍼퓸 뒷사람을 위한 작은 배려 #시크릿푸,사이즈,positive
휴대가 좋은 작은 사이즈라 좋은 토일렛퍼퓸 뒷사람을 위한 작은 배려 #시크릿푸,시크릿푸,positive
끈적이지 않고 촉촉함 가득한 크림 숲에서 나는 원료를 사용하여 순하고 건강한 느낌 충만해요!!,크림,positive
끈적이지 않고 촉촉함 가득한 크림 숲에서 나는 원료를 사용하여 순하고 건강한 느낌 충만해요!!,숲에서 나는 원료,positive
유해물질 없는 크림이라 아이와 함께써도 된다니..이건 뭐 사랑이지♡,유해물질 없는 크림,positive
왕 신기한 #주방세제 #내추럴디쉬바,주방세제 #내추럴디쉬바,positive
#친환경세제로 피부 저자극 인증받아 #맨손설거지 해도 손이 건조하지 않아요.,친환경세제,positive
거품이 풍성해서 마을까지 개운한 #설거지비누,설거지비누,positive
전용 받침대의 경사면으로 물빠짐과 위생적인 관리가 가능해 이점도 참 좋네요^^,전용 받침대의 경사면,positive
미세먼지 흡착 방지를 위한 #데이크림,데이크림,positive
요 세가지 제품 아주 유용하게 사용하고 있어요.,세가지 제품,positive
그 중 특히 맘에 드는 타임와이즈5X 데이크림은 중건성용과 지성용 두가지가 있는데요.,타임와이즈5X 데이크림,positive
중건성용은 미세먼지 흡착방지에 효과가 좋다고 인증까지 받은 제품이라네요.,중건성용,positive
그게 바로 요 데이크림이랍니다^^,데이크림,neutral
#디퓨저추천,디퓨저,positive
외출했다 집으로 돌아오면 고급스런 라벤더의 향긋함에 기분이 좋아져요.,라벤더의 향긋함,positive
바로 니콜로지디퓨저 덕분인데요.,니콜로지디퓨저,positive
화학적 합성향을 사용하지 않은 자연 그대로의 향으로 프랑스 장인상을 2회나 수상한 디퓨저,화학적 합성향을 사용하지 않은 자연 그대로의 향,positive
천연향에 비트알콜을 사용하여 어린이나 반려동물이 있는 집에서도 안심하고 사용할 수 있답니다.,천연향,positive
천연향에 비트알콜을 사용하여 어린이나 반려동물이 있는 집에서도 안심하고 사용할 수 있답니다.,비트알콜,positive
안전한 기저귀로 애용하는 #팸퍼스,팸퍼스,positive
편안한 기저귀 덕분인지 병원에서도 까불던 너,기저귀,positive
요즘 자기 전 꼭 챙기는 #라치나타나이트크림,라치나타나이트크림,neutral
엑스트라 버진 올리브오일이 항산화역할로 산화작용으로부터 피부를 보호해줘요~,엑스트라 버진 올리브오일,positive
팬이 2개라서 더 시원한 #휴대용선풍기,휴대용선풍기,positive
그동안 가지고 다녔던 휴대용선풍기보다 사이즈가 작아 주머니에도 쏙 들어가고 작은 핸드백에도 넣어 다니기 편해요.,사이즈,positive
메이드 인 코리아 제품으로 안전하고 오래도록 사용할 수 있는 선풍기,선풍기,positive
잘 엉키는 우리 따님 머리카락에 찰떡같은 #브러쉬 발견!!,브러쉬,positive
#아이캔디볼륨S브러쉬미니 모가 에어 홀을 만들어 볼륨은 풍성하게 해줘요~,아이캔디볼륨S브러쉬미니 모,positive
#아이캔디레인보우볼륨S컴팩트브러쉬 슬림한사이즈로 휴대하기 좋아서 여행갈때 파우치에 쏙 넣어가기 좋아요.,아이캔디레인보우볼륨S컴팩트브러쉬,positive
캡 안쪽에 거울이 있어 스타일링하기도 좋긔..😄,거울,positive
최근 #&name& 콘서트 다녀와서 #&name& #음악재생 하여 실컷 듣고 가끔은 좋아하는 #라디오 도 듣고 #누구 와 함께라면 지루할 틈 없어요!,누구,positive
민감한 그날 냄새때문에 고민이라면 #겟잇뷰티이너향수 추천!!,겟잇뷰티이너향수,positive
향이 좋아서 향수 대용으로 사용하기 좋고 지속력도 좋아 아침에 한방울만 뿌려도 하루종일 은은한향이 맴돌아요~,향,positive
#고급스러운향,향,positive
아이들과 워터파크 놀러가서 사용하기 딱 좋은 백,백,positive
물이 닿아도 변하지 않는 방수 재질에 잘잘한 물건 따로 보관할 수 있는 지퍼도 있고 다양한 컬러의 어깨끈으로 스타일까지 살릴 수 있는 예쁜 비치백이랍니다.,방수 재질,positive
물이 닿아도 변하지 않는 방수 재질에 잘잘한 물건 따로 보관할 수 있는 지퍼도 있고 다양한 컬러의 어깨끈으로 스타일까지 살릴 수 있는 예쁜 비치백이랍니다.,어깨끈,positive
물이 닿아도 변하지 않는 방수 재질에 잘잘한 물건 따로 보관할 수 있는 지퍼도 있고 다양한 컬러의 어깨끈으로 스타일까지 살릴 수 있는 예쁜 비치백이랍니다.,비치백,positive
사이즈가 큼직해서 쇼핑할때나 해외여행시에도 유용하게 사용할 수 있을 것 같아요.,사이즈,positive
주 1회 사용으로 간편하게 케어할 수 있는 #마스크팩추천,마스크팩,positive
#리포좀공법 으로 고기능성 핵심성분을 피부속 깊은곳까지 전달시켜 #마스크팩효과 제대로 볼 수 있어요.,리포좀공법,positive
밀착력 좋은 시트가 얼굴에 #착붙 어마어마안 앰플미 흐르지 않고 쏙쏙 흡수되지요.,밀착력 좋은 시트,positive
밍크기모소제로 포근하고 따뜻한 #밍크수면조끼,밍크기모소제,positive
길쭉한 길이감이 이불 없이 자는 울 아들에게 딱 안성맞춤이네요~,길이감,positive
고속모터에 10단계 속도조절로 사용하기 정말 쉽고 편해요~,고속모터에 10단계 속도조절,positive
#흡수력좋은기저귀,기저귀,positive
더 푹신푹신 더 말랑말랑해진 기저귀,기저귀,positive
기술부터 다른 밀크프렌즈,밀크프렌즈,neutral
피부자극이 덜한 특허받은 3D 다이아몬드 엠보 밀크프렌즈를 선택한 이유에요~,3D 다이아몬드 엠보 밀크프렌즈,positive
여행갈때 다른건 안챙겨도 꼭 챙기는 #마스크팩 이번에도 챙겨갔어요!!,마스크팩,positive
100% 유기농 순면시트로 피부를 진정시켜주고 특허받은 안티세범P성분이 모공축소에 도움을 줘요~,100% 유기농 순면시트,positive
100% 유기농 순면시트로 피부를 진정시켜주고 특허받은 안티세범P성분이 모공축소에 도움을 줘요~,안티세범P성분,positive
EGF성분과 병풍추출물이 모공 재생에도 도움주니 나 이제 어려지는거??,EGF성분과 병풍추출물,positive
모근부터 건강한 머릿결을 유지 시켜 #탈모방지 에 도움되는 #블루타일써머링샴푸,블루타일써머링샴푸,positive
촉촉한 보습감을 오래 유지할 수 있는 #블루타일써머링샤워젤,블루타일써머링샤워젤,positive
유해 성분은 배제하고 천연유래성분으로 꽉 채워 안심하고 사용할 수 있어요.,천연유래성분,positive
쿨한 느낌의 은은한 향은 마치 고급 향수의 느낌으로 #힐링 을..,향,positive
올 가을 여심저격 블러셔,블러셔,positive
쫀쫀한 미세버블이 메이크업을 효과적으로 제거해주고 피부는 촉촉하게 가꿔주는 #보습폼클렌저,보습폼클렌저,positive
각질 정돈과 탄력을 한번에 챙길 수 있는 #겔랑더블r세럼,겔랑더블r세럼,neutral
쉐어버터로 더울 촉촉해진 #유아핸드워시,유아핸드워시,positive
아이들이 좋아하는 #핑크퐁 캐릭터가 자꾸 손씻고싶게 만들어요~,핑크퐁 캐릭터,positive
유해의심성분 무첨가로 안심할 수 있는 #핸드워시,유해의심성분 무첨가,positive
들뜸없이 촉촉하게 스며드는 자연스러운 #톤업크림,톤업크림,positive
피부를 건강하게 해주는 7가지 뿌리성분이 피부를 밝게 도와줘요♡,7가지 뿌리성분,positive
울 &name&의 활동성을 높여주는 편안한 팬티기저귀,팬티기저귀,positive
부드럽고 흡수력 좋고 허리밴드가 쫀쫀하니 잘 늘어나니 진심 편한게 느껴지나봐요~,허리밴드,positive
세계적으로 사랑받는 이유를 충분히 느낄 수 있는 #아이기저귀,아이기저귀,positive
#외출필수템 으로 요즘 한창 잘 쓰고 있는 #여름이불,여름이불,neutral
버뜨 요 이불.. 통기성이 좋아 몸에 감기거나 달라붙지 않는 시원한 #냉장고이불 되시겠다!!,이불,positive
프리미엄 비드타입 염화칼륨을 사용하여 기존 제습제 보다 50% 빠른 제습력으로 우리집 습기제거 일등공신!!,프리미엄 비드타입 염화칼륨,positive
신발장 옷장 등 집안 여기저기 제습제로 산뜻한 우리집~,제습제,positive
자극적이지 않고 인체 친화적인 #탈모샴푸,탈모샴푸,positive
4가지 식물성 특허원료와 자연유래 발효추출물 펩타이드 성분이 함유되어 탈모증상을 완화시켜주고 두피모발건강에 도움을 줘요~,4가지 식물성 특허원료와 자연유래 발효추출물 펩타이드 성분,positive
쉽고 빠르게 헤어 스타일링 할 수 있는 리자드 3in1 멀티스타일러,리자드 3in1 멀티스타일러,positive
1개의 본체에 3개의 헤드를 연결해서 사용할 수 있어 죠으다!!,3개의 헤드,positive
드러이기로 젖은머리 말리고 망치고데기로 웨이브 만들고 헤어롤고데기로 앞머리 정리하면 스타일링 완성!!,드러이기,positive
드러이기로 젖은머리 말리고 망치고데기로 웨이브 만들고 헤어롤고데기로 앞머리 정리하면 스타일링 완성!!,망치고데기,positive
드러이기로 젖은머리 말리고 망치고데기로 웨이브 만들고 헤어롤고데기로 앞머리 정리하면 스타일링 완성!!,헤어롤고데기,positive
헤드별 2중안전장치로 보다 안전하고 간편하게 조작할 수 있는 너..♡,헤드별 2중안전장치,positive
바람불어서 겉옷 입었더니 더운데 위크나인 #여름운동화 신었더니 발만큼은 땀 안차고 보송하구나~~,위크나인 #여름운동화,positive
울 가족 동해 여행 중 가장 잘 챙겨온 #비누방울놀이,비누방울놀이,positive
화한 느낌의 개운한 #유기농치약,유기농치약,positive
역시 #믿고쓰는몽디에스 아니겠어??,몽디에스,positive
전성분공개로 안전한 치약이라 #임산부치약 으로도 유명하다네~,임산부치약,positive
코베 베이비페어 유아스킨케어 부문 매출 1위 달성 한 #몽디에스 대단해요~🖒,몽디에스,positive
바르는 순간 은은한 실버펄이 주는 광채,실버펄,positive
피부에 착붙는 밀착력 끝내주는 #바디쉬머크림,바디쉬머크림,positive
부드럽고 산뜻한 마무리감이 좋은 #하이라이터크림 이랍니다♡,하이라이터크림,positive
지속적으로 좋아질 수 있는 방법을 찾다 알게된 #거북목베개 롤링필로우,거북목베개 롤링필로우,positive
무의식 수면상태에서도 내 몸의 균형을 바르게 해주는 #무중력베개 자세교정 효과로 거북목의 완화를 기대하고있어요.,무중력베개,positive
날 따뜻해 지니 피부가 울긋불긋 자극 주면 안될 것 같아서 순한처방 #일리윤크림 만 바르는중..,일리윤크림,positive
용기리필을 간편하게 교체할 수 있는 홀더형 디자인으로 리필교체가 엄청 간단해 오래오래 함께 할 수 있는 #비움,비움,positive
불필요한 것은 비우고 필요한 것은 채우는 #비움주방세제,비움주방세제,positive
깨끗한 화이트 컬러에 모던한 디자인으로 #주방인테리어 에 한 몫 하는 #예쁜주방세제,예쁜주방세제,positive
피부 자극 테스트를 완료해 피부자극이 적고 아이 식기는 물론 과일까지 세척 할 수 있는 #1종주방세제 로 집들이 선물로도 최고랍니다!!,1종주방세제,positive
산소방울이 톡톡 밝거나 어둡거나 피부톤에 상관 없이 내피부에 자연스럽게 녹아드는 #톤업크림,톤업크림,positive
크림 속 미세한 기포가 피부 깊숙히 유효성분의 흡수를 돕고 모공을 케어해 피부의 숨길을 열어줘요~,크림 속 미세한 기포,positive
진주가루와 다이아몬드가루가 피부를 매끄럽고 생기있게 가꿔준다니 ..🖒🖒,진주가루와 다이아몬드가루,positive
미생물 발효기술을 이용한 부작용 걱정 없는 #가슴크림,가슴크림,positive
"푸에라리아발효물, 사카로마이세스, 바실러스발효물, 키젤리아발효물, 파라벨 FREE 등 안심할 수 있는 5가지 성분으로 가슴크림의 장점을 극대화시킨 #셀메이드가슴크림","푸에라리아발효물, 사카로마이세스, 바실러스발효물, 키젤리아발효물, 파라벨 FREE",positive
바로 #뤼미에르바이탈C 와 #아이디얼오일 이에요!!,뤼미에르바이탈C 와 #아이디얼오일,neutral
#뤼미에르바이탈씨 는 강력한 항산화 세럼으로 비타민C와 E를 공급해 칙칙한 피부톤을 맑게 케어해주는 제품이에요.,뤼미에르바이탈씨 ,positive
"#아이디얼오일 은 67% 카멜리아 오일과 로즈힙, 달맞이꽃오일 등 천연 재생성분 함유로 피부에 수분과 영양을 공급해 볼륨감있게 케어해주는 제품이에요.","67% 카멜리아 오일과 로즈힙, 달맞이꽃오일 등 천연 재생성분",positive
#AHC내추럴퍼펙션선스틱 투명한 스틱형이라 부담없이 덧바를 수 있고 가볍고 순한느낌이 참 좋아요~,AHC내추럴퍼펙션선스틱,positive
#AHC내추럴퍼펙션선스틱 투명한 스틱형이라 부담없이 덧바를 수 있고 가볍고 순한느낌이 참 좋아요~,스틱형,positive
세범파우더함유로 끈적임 없이 산뜻하고 보송보송한 선스틱,세범파우더,positive
두가지 선스틱 모두 물과 땀에 강한 #지속내수성선스틱 이에요.,지속내수성선스틱,positive
리모컨이 같이 있어 멀리서도 조절할 수 있어 편하고요.,리모컨,positive
상하좌우 회전이 되니 공기순환에 더 도움이 되는듯요~,상하좌우 회전,positive
무더운 여름 에어컨 틀어놓고 고 앞에 마루를 틀어주면 시원한 공기를 순환시켜 실내를 골고루 시원하게 해줘요~,마루,positive
실내 환기를 위해서도 빨래 건조를 위해서도 참 유용한 #마루 ~,마루,positive
타이머 선택도 가능해 자기 전 설정할수도 있어요^^,타이머 선택,positive
"#약산성샴푸 로 영양공급, 단백질케어, 노폐물세정 3단계 케어로 모발을 탱글탱글하게..",약산성샴푸,positive
17가지 자연유래성분이 모발과 두피를 보호해 건강한 두피로 가꿀 수 있어요 ♡,17가지 자연유래성분,positive
혜자스런 #대용량토너 #로아비타민토너,대용량토너 #로아비타민토너,positive
물부터 다른 #초정광천수 가 들어가 산뜻하고 촉촉하게..♡,초정광천수,positive
#1종세척제 라 야채 과일까지 씻을 수 있어 안심~,1종세척제,positive
"나노화기술을 통해 콩, 야자, 율무 등 식물성 재료의 효능이 극대화 된 #발포세제 인 #키친워싱클리너 로 주방살림 깨끗하게~♡",키친워싱클리너,positive
안전한 르주르 선물용으로도 최고네요🖒,르주르,positive
#쉬드엘 #생얼크림 청순한듯 자연스러운 톤업효과가 신의 한수랄까..,#쉬드엘 #생얼크림,positive
매끄럽고 촉촉한 백옥피부.. 쉬드엘과 함께~~♡,쉬드엘,positive
#베이비주얼리 하나로 #패셔니스타 등극!!,베이비주얼리,positive
#미아방지목걸이 둘째도 해줘야겠어요.,미아방지목걸이,neutral
#자외선차단제추천,자외선차단제,positive
뜨거운 태양 피하고 싶은 요즘 #자외선차단제 추천!!,자외선차단제,positive
부드럽고 가벼운 텍스쳐에 백탁현상 없이 자연스럽게 톤업되는 선크림,텍스쳐,positive
부드럽고 가벼운 텍스쳐에 백탁현상 없이 자연스럽게 톤업되는 선크림,선크림,positive
건강한 영양성분으로 아이부터 노인까지 사용할 수 있어요!!,영양성분,positive
여리고 순한 아이 피부에 자극이 적은 #무기자외선차단제 #함소아그린선쿠션,무기자외선차단제 #함소아그린선쿠션,positive
햇빛에 예민해진 피부의 진정과 보호에 도움을 주는 칼라민 성분이 핑크돌고래속에 쏘옥~,칼라민 성분,positive
울 애들도 #에끌레브 가 키웠는데 더 좋아졌네요!!,에끌레브,positive
전면 #매쉬 소재라 여름에도 시원~,전면 #매쉬 소재,positive
무게까지 가벼워졌어요!!,무게,positive
곧 태어날 조카를 위해 #출산선물 로 에끌레브 준비해야겠어요^^,에끌레브,neutral
귀여운 기린 모양의 키측정기는 다양한 기능으로 아이들의 친구가 되어줘요~,기린 모양의 키측정기,positive
"시계, 수면등, 인테리어소품 및 장난감으로 활용할 수 있는 소나",소나,neutral
측정값을 100개까지 기록할 수 있어 관리하기도 쉽답니다^^,측정값을 100개까지 기록,positive
자연스러운 실버빛 펄이 조명켠듯 밝고 화사해지니까.. 더 생기있어보이고 예뻐진듯해 쓸수록 기분좋아지는 #하이라이터,하이라이터,positive
수분크림같은 제형이라 촉촉함까지 꽉 잡았어요~♡,수분크림같은 제형,positive
부드러운 텍스처로 매끄러운 피부연출을 도와주는 #프라이머,프라이머,positive
손톱이 얇은데다 벗겨지고 갈라져 네일아트는 꿈도 못꿨는데.. #라벨영 쇼킹구해줘네일밤으로 꾸준히 관리해주니 네일아트도 하는구나..😆,라벨영 쇼킹구해줘네일밤,positive
#프로폴리스 #베이킹소다 #사과식초 다 손발톱 영양에 독보적으로 좋다던데..,프로폴리스 #베이킹소다 #사과식초,positive
인삼과 강황 발효 에너지가 두피활력을 촉진하고 암라성분이 즉각적으로 모발을 두껍게 해 하루종일 풍성한 헤어를 유지할 수 있어요!!,인삼과 강황 발효 에너지,positive
인삼과 강황 발효 에너지가 두피활력을 촉진하고 암라성분이 즉각적으로 모발을 두껍게 해 하루종일 풍성한 헤어를 유지할 수 있어요!!,암라성분,positive
괜히 #두피보약 이 아니란 말씀!!,두피보약,positive
#앰플관리 후 바르는 순간 착! 40시간 밀착 레스팅 효과가 있는 #투쿨포스쿨 쿠션으로 마무리~,투쿨포스쿨 쿠션,positive
유기농 인증 받는 티트리오일을 사용해 자극없이 꺠끗한 클렌징이 가능한 #촉촉한비누,비누,positive
원형모 느낌이 너무 궁금해서 하나 사봄..,원형모,neutral
360도 칫솔이라 구석구석 닦기 좋다 😁,360도 칫솔,positive
휴대하기 좋은 사이즈인 #미니고데기,사이즈,positive
그립감다 좋아서 사용하기 넘 편하다..😁,그립감,positive
늘어진 모공을 조여주는 #포켓에센스,포켓에센스,positive
피지는 잡아주고 수분은 지켜주는 #매직펜,매직펜,positive
#쌍빠 모공펜 덕분에 #1cm피부자신감 업👆,쌍빠 모공펜,positive
휴대하기도 딱 좋은 사이즈로 파우치에 쏙~,사이즈,positive
한 번 사용하면 14일간 지속 가성비 갑 #댕기머리 헤어캡,댕기머리 헤어캡,positive
물 샐틈 없이 수분을 꽉 잡아주는 #그로우히알B5앰플,그로우히알B5앰플,positive
오래도록 촉촉함에 생기까지 더한 똑소리 나는 앰플 #히알B5,앰플 #히알B5,positive
하지만 #마더스픽 네일컬러 만나고는 걱정끝!!,마더스픽 네일컬러,positive
손톱보습성분을 함유한 어린이 전용 네일컬러,손톱보습성분,positive
아이들이 좋아하는 #프리파라 캐릭터로 아이들 취향저격!!,프리파라 캐릭터,positive
칙칙한 피부톤을 생기있고 자연스러운 핑크톤으로 화사하게 보정해주는 #자외선차단제,자외선차단제,positive
생크림처럼 부드러운 사용감의 #무기자차 선크림이에요~,무기자차 선크림,positive
건조해지는 가을 #승무원미스트 로 물광피부 만들기!!,승무원미스트,positive
이탈리아 화이트트러플 함유로 탄력이 피부 속부터 채워진다~🖒,이탈리아 화이트트러플,positive
"다시마추출물이 무려 10,000PPM 함유되어 더 촉촉하게💦",다시마추출물,positive
헬로우 #베비루미 #굿바이땀띠 👋,베비루미,positive
말이 필요 없는 #아토크림 울 둘째 꿀피부 되는중~😘,아토크림,positive
전성분이 EWG안전등급이니 믿을 수 있고 끈적임 없이 부드럽게 싹 흡수하니 피부가 보들보들 좋구나~👏👏,EWG안전등급,positive
한장씩 뜯어 매일 바꿔쓰는 #스카트 하나면 믿고 쓸 수 있지💕,스카트,positive
천연항균성분과 비타민C가 함유된 항균성분이 2~3번 빨아써도 안심되요!!,천연항균성분과 비타민C,positive
신생아부터 온가족이 사용하는 안전한 #유아세제,유아세제,positive
친환경 프리미엄 유아세제인 #베베무스,베베무스,positive
3배 고농축이라 적은량 사용으로 많은 빨래도 OK👌,3배 고농축,positive
#베라베라향 넘 좋아~😊,베라베라향,positive
믿고 쓰는 #더블하트,더블하트,positive
순비누성분의 순한 세제 #더블하트,더블하트,positive
아가아가한 유연제 향기에 기분마저 좋으니 빨래할맛 난다~유후~💕,유연제 향기,positive
꿀 추출물로 탄력있는 피부로..,꿀 추출물,positive
달콤한 향기에 취하고~ 엄청난 보습감에 놀라고..,향기,positive
달콤한 향기에 취하고~ 엄청난 보습감에 놀라고..,보습감,positive
건조한 피부 극복을 위해 #허그미모이스춰스팀크림 준비!!,허그미모이스춰스팀크림,positive
전신사용이 가능한 멀티 고보습크림이니까..,크림,positive
아르간오일 및 좋은성분만 넣은 저자극성크림으로 민감피부에도 짱!!,저자극성크림,positive
케이스도 넘 귀엽고 예뻐서 외출시 휴대용으로도 굿~!!,케이스,positive
#화이트트러플 의 광채 보습 에센스 60ml가 듬뿍!!,화이트트러플 의 광채 보습 에센스,positive
깊고 진한 보습감도 오래 느낄 수 있답니다!!,보습감,positive
고정력 좋고 떡지거나 딱딱해지지 않는 #컬링에센스,컬링에센스,positive
#히피펌 하고나니 부시시함 끝판왕이었는데 밀크바오밥 컬링에센스 사용하니 차분해지면서 컬링은 살아있고..완전 좋아요!,밀크바오밥 컬링에센스,positive
미트트처럼 분사력도 좋고 흐트러짐 없이 컬링 그대로~~,분사력,positive
봄이니까 곱게 #메이크업 하고싶은데 이번에 만난 #소장각블러셔 완전 대박!!,블러셔,positive
#celefit #블러셔추천 !!,celefit #블러셔,positive
"웜톤, 쿨톤 모두 #찰떡 같이 어울리는 #소장각블러셔 에요~",블러셔,positive
생기 있게 표현되고 유지력이 좋은 블러셔,블러셔,positive
식탁 위의 분위기를 밝고 예쁘게 해주는 #북유럽풍식기,북유럽풍식기,positive
고급스러운 #골드마블 접시를 구입했어요.,골드마블 접시,positive
식기가 예쁘니 #홈카페 분위기 오지고~,식기,positive
브런치도 식사도 예쁘게 #플레이팅 할 수 있는 #대리석접시,대리석접시,positive
이 식기에 식사하니 기부니가 죠아요~♡,식기,positive
나름 열심히 관리한다 해도 채워지지 않는 촉촉함 라스텔라 #셀리프마이크로밤 으로 해결했어요~,라스텔라 #셀리프마이크로밤,positive
밤 타입 제형이 부드럽고 빠르게 흡수 속까지 꽉 채워주는 수분감에 피부가 더 어려지는 느낌!!,밤 타입 제형,positive
밤 타입 제형이 부드럽고 빠르게 흡수 속까지 꽉 채워주는 수분감에 피부가 더 어려지는 느낌!!,수분감,positive
#각질제거 매번 귀찮은데 #닦토 로 편하게 사용할 수 있는 #가지데일리bha토너,가지데일리bha토너,positive
천연성분이라 민감한 피부도 사용할 수 있는 #착한토너,천연성분,positive
믿고 쓰는 #뷰티챌린지 베스트템,뷰티챌린지 베스트템,positive
#천영화장품 #보나쥬르토너 강추해요^^,천영화장품 #보나쥬르토너,positive
연예인 &name&가 추천할 만큼 믿을 수 있는 쿠션이에용,쿠션,positive
그리고 기본 구성에 #스파우트 가 있어서 요새는 외출시 물 담아서 가지고 다니기 좋당,스파우트,positive
#화병 너무 귀여움,화병,positive
#3D감옥탈출 이라는 게임인데 너무 좋아했다.,3D감옥탈출,positive
아직 &name&는 룰을 다 이해못해서 지들만의 방식으로 놀았는데.. 어찌나 좋아하던지 서로 역할을 바꿔가며 주말내내 게임을 즐겼다.,게임,positive
사진에는 안찍혔지만 틴케이스도 이쁜 게임^^,틴케이스,positive
요즘 핫한 #겨울수분크림으로 인기몰이 중이라는데 저만 늦게 알았지모에요,겨울수분크림,positive
릴리유 물티슈 오픈하자마자 핑크핑크에 괜시리 기분좋아지네요,핑크핑크,positive
물티슈에 나뭇잎모양을 보고 하나하나에 신경쓴게 보이는느낌,나뭇잎모양,positive
아르간오일 함유로 촉촉하고 자극없고 마실수 있는물을 사용할정도로 안정성까지 굿~♡,아르간오일,positive
아르간오일 함유로 촉촉하고 자극없고 마실수 있는물을 사용할정도로 안정성까지 굿~♡,마실수 있는물,positive
내츄럴 셀룰로스로 각질을 부드럽게 밀어내고 오일성분으로 피지를 녹여주는 천연 유래 추출물이 배합되어있어요,천연 유래 추출물,positive
자극적이지않고 7가지 쳔연유래 성분과 19가지 비타민 성분이 합쳐진 저자극필링젤,7가지 쳔연유래 성분과 19가지 비타민 성분,positive
포도향 너무 기분이 좋아진다,포도향,positive
대용량이라 오래도록 사용할수있어서 굿굿,대용량,positive
머리를 묶었다 풀때마다 향이 넘좋아서 일부러 풀었다 묶엇다는ㅎㅎ,향,positive
100%퓨어 유기농 시어버터 단하나의 성분으로 최대효과를 낼수있는 너란아이,100%퓨어 유기농 시어버터,positive
아침에 일어나자마자 물티슈처럼 뽑아서 사용하는 #SOS마스크팩 을 60초만 올려두는데 넘 간편하고 좋아요,물티슈처럼 뽑아서 사용하는 #SOS마스크팩,positive
장미향이 은은하게 나서 잠잘 때도 기분 좋고 장미수가 들어가있어서 화장도 잘먹어서 좋아요,장미향,positive
장미향이 은은하게 나서 잠잘 때도 기분 좋고 장미수가 들어가있어서 화장도 잘먹어서 좋아요,장미수,positive
개별 포장되어있는 팩은 여행갈때 챙겨다니기 딱!!!,개별 포장되어있는 팩,positive
꾸준히 사용하고 있는 리파캐럿,리파캐럿,positive
리프팅엔 이거만한게없지👍🏻,리프팅,positive
맘에드는 핑쿠핑쿠,핑쿠핑쿠,positive
발색력 짱 좋은 #로하셀글로시립스탬프,로하셀글로시립스탬프,positive
#로하셀글로시립스탬프틴트추천 해드려요!,로하셀글로시립스탬프틴트,positive
#유아세제 전용으로만 사용하다가 #효소세제 인 #발로파워젤세제 로 바꿨더니 와우~ 세정력이 다르네요!,발로파워젤세제,positive
#덴마크효소세제 홈쇼핑 완판소식에 엄청 궁금했는데 3배 고농축이라 적은양으로도 깨끗하게~,3배 고농축,positive
향도 좋고 안심하고 사용할 수 있으니 자꾸자꾸 손이 갈 수 밖에 없어요 ~ㅋㅋㅋ,향,positive
#아이라인 문신한 적이 있어 #아이라이너 최근에 잘 사용하지 않았었는데 문신 있어도 확실히 한거랑 안한거랑 차이가 확~!!,아이라이너,positive
#시세이도 #잉크스토로크아이라이너 사용중 인데 #메이크업 후 눈매가 더 또렷해 지네요,시세이도 #잉크스토로크아이라이너,positive
부드럽고 밀착력이 우수해 그리기도 편하고  V자형 돌기 스마트V컨테이너가 깔끔하고 지속력도 좋아 완전 만족중!!,V자형 돌기 스마트V컨테이너,positive
정말 대박 #마스크팩 발견했어요,마스크팩,positive
제가 사용해 본것중에 단연 최고라고 할수 있는 #아이릴리프 #블랙미라클마스크 ^^,아이릴리프 #블랙미라클마스크,positive
한번 쓰면 계속 사용하게 된다더니~ 저도 이제 #블랙미라클 꾸준히 쓸것 같아요,블랙미라클,positive
실키한 제형에 끈적이지 않고 산뜻한 마무리감이 너무 좋은 #아토베리어365로션 과 #아토베리어365크림 속 하얀 더마온 캡슐이 사르르 녹아 눈에 보이는 보습을 책임지는 #아토베리어365크림,제형,positive
